Source,Target,Type,id,label,timeset,weight
10940,10565,Undirected,228255,,,123
10504,10561,Undirected,225112,,,122
10558,10581,Undirected,224675,,,122
10625,10535,Undirected,225331,,,121
10556,10673,Undirected,226948,,,119
10679,10779,Undirected,230958,,,119
10940,10571,Undirected,225735,,,119
10553,10541,Undirected,228587,,,118
10558,10547,Undirected,228579,,,118
10906,10907,Undirected,229194,,,118
10535,10826,Undirected,225363,,,117
10541,10840,Undirected,225427,,,117
10553,10476,Undirected,225437,,,117
10774,10679,Undirected,231616,,,117
10829,10558,Undirected,225489,,,114
10906,10908,Undirected,229192,,,114
11674,10551,Undirected,233838,,,113
10698,10716,Undirected,224913,,,112
10747,10940,Undirected,228120,,,112
10504,10774,Undirected,225109,,,111
10551,10827,Undirected,225324,,,111
10571,11432,Undirected,228123,,,111
10625,11149,Undirected,229252,,,111
10679,10588,Undirected,224825,,,111
10551,10553,Undirected,228436,,,110
10570,10940,Undirected,228122,,,107
10685,10706,Undirected,225587,,,107
10504,10556,Undirected,225266,,,106
10577,10774,Undirected,230980,,,106
10625,10539,Undirected,226595,,,106
11567,10625,Undirected,229204,,,106
10521,11120,Undirected,278861,,,105
10541,11366,Undirected,228543,,,105
10542,10541,Undirected,224290,,,105
10553,10539,Undirected,228576,,,105
10645,10605,Undirected,224779,,,105
10553,10558,Undirected,225435,,,104
10638,10990,Undirected,229792,,,104
10946,10638,Undirected,225753,,,104
10560,10679,Undirected,226232,,,103
10625,10906,Undirected,229272,,,103
10774,11469,Undirected,231109,,,103
10530,10645,Undirected,224829,,,102
10575,10679,Undirected,226225,,,99
10698,10694,Undirected,225583,,,99
10535,10581,Undirected,228548,,,98
10566,10679,Undirected,226304,,,98
10625,10829,Undirected,225476,,,98
10476,10609,Undirected,224702,,,97
10638,10949,Undirected,225754,,,97
10827,10598,Undirected,225520,,,97
10829,10553,Undirected,228446,,,97
10625,10907,Undirected,229210,,,96
10908,10625,Undirected,229259,,,96
10679,11390,Undirected,231621,,,95
10685,10698,Undirected,224863,,,95
